,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG00000019582,44.09059292,0.127867967,0.273152515,0.235537928,0.529828737
ENSG00000019991,1197.656723,0.884670962,0.233008607,1.18E-05,0.000241238
ENSG00000019995,2078.337196,-0.8959319,0.11431023,4.21E-16,6.81E-14
ENSG00000020129,1036.806213,0.432150779,0.155695299,0.001282599,0.012628719
ENSG00000020181,7857.587448,0.267440269,0.148126469,0.032471995,0.148930578
ENSG00000020256,310.0506686,0.227540322,0.148157881,0.067056884,0.243753925
ENSG00000020426,177.1946477,-0.03914099,0.153444512,0.751392521,0.914359102
ENSG00000020577,3104.91722,-1.172871827,0.149658147,3.24E-16,5.49E-14
ENSG00000020633,97.17377768,-0.018302448,0.25562458,0.715950781,0.89899773
ENSG00000020922,345.8870327,-0.044416758,0.115510746,0.666668852,0.874269967
ENSG00000021300,14.5123018,0.120492993,0.244719513,0.341225788,0.645486955
ENSG00000021355,621.8815401,-0.56626111,0.101469926,4.06E-09,2.00E-07
ENSG00000021488,1.258569139,0.005175005,0.25545364,0.915349381,NA
ENSG00000021574,498.430936,-0.06506719,0.133973124,0.569815082,0.816009789
