GO.ID	Term	Annotated	Significant	Expected	weight01
GO:0046839	phospholipid dephosphorylation	34	5	2.27	0.02483
GO:0050679	positive regulation of epithelial cell p...	146	19	9.73	0.02485
GO:0003085	negative regulation of systemic arterial...	10	3	0.67	0.02487
GO:0060379	cardiac muscle cell myoblast differentia...	10	3	0.67	0.02487
GO:0060413	atrial septum morphogenesis	10	3	0.67	0.02487
GO:0003188	heart valve formation	10	3	0.67	0.02487
GO:0097084	vascular associated smooth muscle cell d...	10	3	0.67	0.02487
GO:0043589	skin morphogenesis	10	3	0.67	0.02487
GO:1901741	positive regulation of myoblast fusion	10	3	0.67	0.02487
GO:0045779	negative regulation of bone resorption	10	3	0.67	0.02487
GO:1900006	positive regulation of dendrite developm...	10	3	0.67	0.02487
GO:0010832	negative regulation of myotube different...	10	3	0.67	0.02487
GO:0045647	negative regulation of erythrocyte diffe...	10	3	0.67	0.02487
GO:0016185	synaptic vesicle budding from presynapti...	10	3	0.67	0.02487
GO:0055062	phosphate ion homeostasis	10	3	0.67	0.02487
GO:1900452	regulation of long-term synaptic depress...	10	3	0.67	0.02487
GO:0032490	detection of molecule of bacterial origi...	10	3	0.67	0.02487
GO:0097191	extrinsic apoptotic signaling pathway	199	26	13.27	0.02535
GO:0090263	positive regulation of canonical Wnt sig...	96	12	6.4	0.02547
GO:0019216	regulation of lipid metabolic process	259	28	17.27	0.02559
GO:0007157	heterophilic cell-cell adhesion via plas...	26	5	1.73	0.02652
GO:0050804	modulation of chemical synaptic transmis...	347	47	23.13	0.02744
GO:0033627	cell adhesion mediated by integrin	59	10	3.93	0.02794
GO:1902895	positive regulation of miRNA transcripti...	45	7	3	0.02815
GO:0045672	positive regulation of osteoclast differ...	18	4	1.2	0.02831
GO:0021542	dentate gyrus development	18	4	1.2	0.02831
GO:1900273	positive regulation of long-term synapti...	18	4	1.2	0.02831
GO:0046785	microtubule polymerization	100	8	6.67	0.02847
GO:0009617	response to bacterium	404	43	26.93	0.02888
GO:2001240	negative regulation of extrinsic apoptot...	27	5	1.8	0.03082
GO:0030513	positive regulation of BMP signaling pat...	27	5	1.8	0.03082
GO:0030335	positive regulation of cell migration	447	51	29.8	0.03100
GO:0032940	secretion by cell	610	52	40.66	0.03156
GO:2000241	regulation of reproductive process	129	18	8.6	0.03180
GO:0097237	cellular response to toxic substance	104	13	6.93	0.03214
GO:0007019	microtubule depolymerization	46	7	3.07	0.03236
GO:0014829	vascular associated smooth muscle contra...	19	4	1.27	0.03248
GO:0044849	estrous cycle	11	3	0.73	0.03253
GO:0007213	G protein-coupled acetylcholine receptor...	11	3	0.73	0.03253
GO:0061029	eyelid development in camera-type eye	11	3	0.73	0.03253
GO:0006833	water transport	11	3	0.73	0.03253
GO:0051930	regulation of sensory perception of pain	11	3	0.73	0.03253
GO:0048251	elastic fiber assembly	11	3	0.73	0.03253
GO:0010389	regulation of G2/M transition of mitotic...	101	8	6.73	0.03263
GO:0051091	positive regulation of DNA-binding trans...	87	13	5.8	0.03343
GO:0030857	negative regulation of epithelial cell d...	33	8	2.2	0.03361
GO:0046928	regulation of neurotransmitter secretion	63	8	4.2	0.03388
GO:1903672	positive regulation of sprouting angioge...	19	4	1.27	0.03402
GO:2000353	positive regulation of endothelial cell ...	19	4	1.27	0.03402
GO:0090103	cochlea morphogenesis	19	4	1.27	0.03402
GO:0045662	negative regulation of myoblast differen...	19	4	1.27	0.03402
GO:0032332	positive regulation of chondrocyte diffe...	19	4	1.27	0.03402
GO:0001666	response to hypoxia	249	30	16.6	0.03403
GO:0045663	positive regulation of myoblast differen...	37	6	2.47	0.03403
GO:0060348	bone development	177	29	11.8	0.03566
GO:0001649	osteoblast differentiation	199	28	13.27	0.03655
GO:0048863	stem cell differentiation	205	24	13.67	0.03688
GO:0071773	cellular response to BMP stimulus	126	20	8.4	0.03790
GO:0008543	fibroblast growth factor receptor signal...	62	8	4.13	0.03814
GO:0050671	positive regulation of lymphocyte prolif...	84	13	5.6	0.03827
GO:0043271	negative regulation of monoatomic ion tr...	69	11	4.6	0.03836
GO:0002762	negative regulation of myeloid leukocyte...	40	9	2.67	0.03836
GO:0015800	acidic amino acid transport	52	9	3.47	0.03843
GO:0007599	hemostasis	174	17	11.6	0.03844
GO:0098586	cellular response to virus	48	7	3.2	0.03850
GO:0034405	response to fluid shear stress	40	6	2.67	0.03863
GO:0006915	apoptotic process	1492	137	99.46	0.03863
GO:0003128	heart field specification	11	4	0.73	0.03863
GO:0072273	metanephric nephron morphogenesis	14	4	0.93	0.03865
GO:0061050	regulation of cell growth involved in ca...	16	4	1.07	0.03866
GO:0060572	morphogenesis of an epithelial bud	11	3	0.73	0.03872
GO:0032328	alanine transport	13	3	0.87	0.03873
GO:1904894	positive regulation of receptor signalin...	31	4	2.07	0.03875
GO:1903909	regulation of receptor clustering	16	3	1.07	0.03875
GO:0032673	regulation of interleukin-4 production	18	3	1.2	0.03876
GO:0006670	sphingosine metabolic process	19	3	1.27	0.03877
GO:0043268	positive regulation of potassium ion tra...	21	3	1.4	0.03878
GO:0043372	positive regulation of CD4-positive, alp...	22	3	1.47	0.03878
GO:0007186	G protein-coupled receptor signaling pat...	463	61	30.86	0.03880
GO:0042476	odontogenesis	86	16	5.73	0.03918
GO:0002027	regulation of heart rate	68	13	4.53	0.03946
GO:0010881	regulation of cardiac muscle contraction...	20	4	1.33	0.04035
GO:1904706	negative regulation of vascular associat...	20	4	1.33	0.04035
GO:0042886	amide transport	221	23	14.73	0.04049
GO:0042130	negative regulation of T cell proliferat...	48	6	3.2	0.04070
GO:0150076	neuroinflammatory response	57	10	3.8	0.04077
GO:0003073	regulation of systemic arterial blood pr...	59	9	3.93	0.04091
GO:0031076	embryonic camera-type eye development	31	6	2.07	0.04105
GO:0032964	collagen biosynthetic process	40	6	2.67	0.04113
GO:0002720	positive regulation of cytokine producti...	61	7	4.07	0.04118
GO:0070986	left/right axis specification	12	3	0.8	0.04127
GO:0035860	glial cell-derived neurotrophic factor r...	12	3	0.8	0.04127
GO:0003183	mitral valve morphogenesis	12	3	0.8	0.04127
GO:0003184	pulmonary valve morphogenesis	12	3	0.8	0.04127
GO:0035641	locomotory exploration behavior	12	3	0.8	0.04127
GO:0090336	positive regulation of brown fat cell di...	12	3	0.8	0.04127
GO:0048148	behavioral response to cocaine	12	3	0.8	0.04127
GO:0010812	negative regulation of cell-substrate ad...	55	4	3.67	0.04151
GO:0030705	cytoskeleton-dependent intracellular tra...	189	11	12.6	0.04177
GO:0071356	cellular response to tumor necrosis fact...	170	15	11.33	0.04224
GO:0007043	cell-cell junction assembly	103	9	6.87	0.04299
GO:0001837	epithelial to mesenchymal transition	144	20	9.6	0.04471
GO:0045766	positive regulation of angiogenesis	128	16	8.53	0.04559
GO:0086091	regulation of heart rate by cardiac cond...	30	5	2	0.04621
GO:0009410	response to xenobiotic stimulus	289	34	19.27	0.04676
GO:0048662	negative regulation of smooth muscle cel...	41	8	2.73	0.04683
GO:0002088	lens development in camera-type eye	63	8	4.2	0.04709
GO:0015701	bicarbonate transport	21	4	1.4	0.04730
GO:0019228	neuronal action potential	21	4	1.4	0.04730
GO:0009952	anterior/posterior pattern specification	137	15	9.13	0.04793
GO:0098609	cell-cell adhesion	669	68	44.6	0.04856
GO:0060688	regulation of morphogenesis of a branchi...	45	11	3	0.05017
GO:0001655	urogenital system development	50	9	3.33	0.05052
GO:0032526	response to retinoic acid	77	15	5.13	0.05064
GO:0060997	dendritic spine morphogenesis	48	6	3.2	0.05097
GO:0001516	prostaglandin biosynthetic process	20	4	1.33	0.05099
GO:0033630	positive regulation of cell adhesion med...	13	3	0.87	0.05107
GO:0072234	metanephric nephron tubule development	13	3	0.87	0.05107
GO:0099505	regulation of presynaptic membrane poten...	13	3	0.87	0.05107
GO:0071493	cellular response to UV-B	13	3	0.87	0.05107
GO:0071468	cellular response to acidic pH	13	3	0.87	0.05107
GO:0002076	osteoblast development	13	3	0.87	0.05107
GO:0043116	negative regulation of vascular permeabi...	13	3	0.87	0.05107
GO:0034392	negative regulation of smooth muscle cel...	13	3	0.87	0.05107
GO:0010460	positive regulation of heart rate	13	3	0.87	0.05107
GO:0034638	phosphatidylcholine catabolic process	13	3	0.87	0.05107
GO:0016114	terpenoid biosynthetic process	13	3	0.87	0.05107
GO:0040019	positive regulation of embryonic develop...	13	3	0.87	0.05107
GO:0009615	response to virus	336	26	22.4	0.05107
GO:0035329	hippo signaling	57	4	3.8	0.05137
GO:0060429	epithelium development	841	86	56.06	0.05194
GO:0050807	regulation of synapse organization	243	32	16.2	0.05218
GO:2000648	positive regulation of stem cell prolife...	31	5	2.07	0.05220
GO:0007156	homophilic cell adhesion via plasma memb...	107	12	7.13	0.05239
GO:0044782	cilium organization	359	16	23.93	0.05268
GO:0048732	gland development	325	42	21.66	0.05328
GO:0001503	ossification	345	47	23	0.05335
GO:0010594	regulation of endothelial cell migration	145	16	9.67	0.05504
GO:0046578	regulation of Ras protein signal transdu...	40	8	2.67	0.05517
GO:0055006	cardiac cell development	72	10	4.8	0.05518
GO:0019730	antimicrobial humoral response	50	8	3.33	0.05525
GO:0021602	cranial nerve morphogenesis	21	6	1.4	0.05526
GO:2000107	negative regulation of leukocyte apoptot...	38	7	2.53	0.05527
GO:0071295	cellular response to vitamin	26	6	1.73	0.05530
GO:2000136	regulation of cell proliferation involve...	14	5	0.93	0.05532
GO:0006972	hyperosmotic response	25	5	1.67	0.05541
GO:0055078	sodium ion homeostasis	25	5	1.67	0.05541
GO:0060351	cartilage development involved in endoch...	27	5	1.8	0.05543
GO:0010958	regulation of amino acid import across p...	13	4	0.87	0.05544
GO:0048485	sympathetic nervous system development	12	3	0.8	0.05555
GO:0048819	regulation of hair follicle maturation	6	2	0.4	0.05562
GO:0048842	positive regulation of axon extension in...	6	2	0.4	0.05562
GO:0044209	AMP salvage	6	2	0.4	0.05562
GO:0015734	taurine transmembrane transport	6	2	0.4	0.05562
GO:0035722	interleukin-12-mediated signaling pathwa...	6	2	0.4	0.05562
GO:0060463	lung lobe morphogenesis	6	2	0.4	0.05562
GO:0044851	hair cycle phase	6	2	0.4	0.05562
GO:0003357	noradrenergic neuron differentiation	6	2	0.4	0.05562
GO:2001186	negative regulation of CD8-positive, alp...	6	2	0.4	0.05562
GO:0003415	chondrocyte hypertrophy	6	2	0.4	0.05562
GO:0051167	D-xylulose 5-phosphate metabolic process	6	2	0.4	0.05562
GO:0003431	growth plate cartilage chondrocyte devel...	6	2	0.4	0.05562
GO:1902172	regulation of keratinocyte apoptotic pro...	6	2	0.4	0.05562
GO:0046469	platelet activating factor metabolic pro...	6	2	0.4	0.05562
GO:0003139	secondary heart field specification	6	2	0.4	0.05562
GO:0060754	positive regulation of mast cell chemota...	6	2	0.4	0.05562
GO:0060592	mammary gland formation	6	2	0.4	0.05562
GO:0034354	'de novo' NAD+ biosynthetic process from...	6	2	0.4	0.05562
GO:0060510	type II pneumocyte differentiation	6	2	0.4	0.05562
GO:0060534	trachea cartilage development	6	2	0.4	0.05562
GO:0015942	formate metabolic process	6	2	0.4	0.05562
GO:0043508	negative regulation of JUN kinase activi...	6	2	0.4	0.05562
GO:0042711	maternal behavior	6	2	0.4	0.05562
GO:0060911	cardiac cell fate commitment	6	2	0.4	0.05562
