GO.ID	Term	Annotated	Significant	Expected	weight01
GO:0030449	regulation of complement activation	11	0	0.75	1.00000
GO:0030488	tRNA methylation	40	0	2.72	1.00000
GO:0030521	androgen receptor signaling pathway	44	0	2.99	1.00000
GO:0030638	polyketide metabolic process	9	0	0.61	1.00000
GO:0030644	intracellular chloride ion homeostasis	7	0	0.48	1.00000
GO:0030656	regulation of vitamin metabolic process	7	0	0.48	1.00000
GO:0030852	regulation of granulocyte differentiatio...	10	0	0.68	1.00000
GO:0030853	negative regulation of granulocyte diffe...	7	0	0.48	1.00000
GO:0030859	polarized epithelial cell differentiatio...	21	0	1.43	1.00000
GO:0030903	notochord development	12	0	0.82	1.00000
GO:0030916	otic vesicle formation	7	0	0.48	1.00000
GO:0030948	negative regulation of vascular endothel...	10	0	0.68	1.00000
GO:0030949	positive regulation of vascular endothel...	12	0	0.82	1.00000
GO:0030953	astral microtubule organization	11	0	0.75	1.00000
GO:0031017	exocrine pancreas development	6	0	0.41	1.00000
GO:0031033	myosin filament organization	6	0	0.41	1.00000
GO:0031055	chromatin remodeling at centromere	11	0	0.75	1.00000
GO:0031069	hair follicle morphogenesis	20	0	1.36	1.00000
GO:0031086	nuclear-transcribed mRNA catabolic proce...	6	0	0.41	1.00000
GO:0031118	rRNA pseudouridine synthesis	9	0	0.61	1.00000
GO:0031124	mRNA 3'-end processing	41	0	2.79	1.00000
GO:0031145	anaphase-promoting complex-dependent cat...	23	0	1.56	1.00000
GO:0031167	rRNA methylation	24	0	1.63	1.00000
GO:0031204	post-translational protein targeting to ...	7	0	0.48	1.00000
GO:0031223	auditory behavior	6	0	0.41	1.00000
GO:0031281	positive regulation of cyclase activity	14	0	0.95	1.00000
GO:0031392	regulation of prostaglandin biosynthetic...	7	0	0.48	1.00000
GO:0031440	regulation of mRNA 3'-end processing	10	0	0.68	1.00000
GO:0031445	regulation of heterochromatin formation	8	0	0.54	1.00000
GO:0031468	nuclear membrane reassembly	24	0	1.63	1.00000
GO:0031509	subtelomeric heterochromatin formation	11	0	0.75	1.00000
GO:0031554	regulation of termination of DNA-templat...	7	0	0.48	1.00000
GO:0031573	mitotic intra-S DNA damage checkpoint si...	16	0	1.09	1.00000
GO:0031630	regulation of synaptic vesicle fusion to...	10	0	0.68	1.00000
GO:0031632	positive regulation of synaptic vesicle ...	7	0	0.48	1.00000
GO:0031665	negative regulation of lipopolysaccharid...	9	0	0.61	1.00000
GO:0031848	protection from non-homologous end joini...	10	0	0.68	1.00000
GO:0031915	positive regulation of synaptic plastici...	8	0	0.54	1.00000
GO:0031943	regulation of glucocorticoid metabolic p...	9	0	0.61	1.00000
GO:0031946	regulation of glucocorticoid biosyntheti...	7	0	0.48	1.00000
GO:0032020	ISG15-protein conjugation	6	0	0.41	1.00000
GO:0032042	mitochondrial DNA metabolic process	21	0	1.43	1.00000
GO:0032071	regulation of endodeoxyribonuclease acti...	6	0	0.41	1.00000
GO:0032091	negative regulation of protein binding	24	0	1.63	1.00000
GO:0032092	positive regulation of protein binding	10	0	0.68	1.00000
GO:0032185	septin cytoskeleton organization	6	0	0.41	1.00000
GO:0032201	telomere maintenance via semi-conservati...	9	0	0.61	1.00000
GO:0032212	positive regulation of telomere maintena...	23	0	1.56	1.00000
GO:0032241	positive regulation of nucleobase-contai...	6	0	0.41	1.00000
GO:0032262	pyrimidine nucleotide salvage	6	0	0.41	1.00000
GO:0032288	myelin assembly	18	0	1.22	1.00000
GO:0032303	regulation of icosanoid secretion	9	0	0.61	1.00000
GO:0032305	positive regulation of icosanoid secreti...	8	0	0.54	1.00000
GO:0032306	regulation of prostaglandin secretion	8	0	0.54	1.00000
GO:0032308	positive regulation of prostaglandin sec...	7	0	0.48	1.00000
GO:0032324	molybdopterin cofactor biosynthetic proc...	6	0	0.41	1.00000
GO:0032351	negative regulation of hormone metabolic...	7	0	0.48	1.00000
GO:0032402	melanosome transport	20	0	1.36	1.00000
GO:0032410	negative regulation of transporter activ...	20	0	1.36	1.00000
GO:0032413	negative regulation of ion transmembrane...	16	0	1.09	1.00000
GO:0032459	regulation of protein oligomerization	7	0	0.48	1.00000
GO:0032471	negative regulation of endoplasmic retic...	6	0	0.41	1.00000
GO:0032482	Rab protein signal transduction	23	0	1.56	1.00000
GO:0032483	regulation of Rab protein signal transdu...	7	0	0.48	1.00000
GO:0032484	Ral protein signal transduction	6	0	0.41	1.00000
GO:0032486	Rap protein signal transduction	13	0	0.88	1.00000
GO:0032488	Cdc42 protein signal transduction	10	0	0.68	1.00000
GO:0032489	regulation of Cdc42 protein signal trans...	7	0	0.48	1.00000
GO:0032493	response to bacterial lipoprotein	9	0	0.61	1.00000
GO:0032510	endosome to lysosome transport via multi...	17	0	1.16	1.00000
GO:0032536	regulation of cell projection size	6	0	0.41	1.00000
GO:0032543	mitochondrial translation	127	0	8.64	1.00000
GO:0032607	interferon-alpha production	24	0	1.63	1.00000
GO:0032621	interleukin-18 production	6	0	0.41	1.00000
GO:0032634	interleukin-5 production	10	0	0.68	1.00000
GO:0032647	regulation of interferon-alpha productio...	24	0	1.63	1.00000
GO:0032661	regulation of interleukin-18 production	6	0	0.41	1.00000
GO:0032674	regulation of interleukin-5 production	10	0	0.68	1.00000
GO:0032700	negative regulation of interleukin-17 pr...	10	0	0.68	1.00000
